window,channel,window_ps,n_points,fit_status,chi2,ndf,prob,Amplitude,Amplitude_err,Mean,Mean_err,Sigma,Sigma_err,Baseline,Baseline_err
10000ns,CH1,10000000,100,0,698489,96,0,380.089,22.6637,-1.57171e+06,82031.1,656635,77830.4,720221,12.332
10000ns,CH2,10000000,100,0,911602,96,0,7793.85,4594.6,-6e+06,177607,1.68951e+06,160423,705027,14.4332
10000ns,CH3,10000000,100,0,1.43946e+06,96,0,772.017,33.3308,-1.65679e+06,90181.2,827360,67821.4,830836,18.982
1000ns,CH1,1000000,100,0,2.14608e+09,96,0,39874.8,1766.1,150121,23354.3,837369,45050.5,71560.7,1728.97
1000ns,CH2,1000000,100,0,1.01808e+09,96,0,24681.6,1180.18,165911,25914.6,827888,47607.9,73012,1134.41
1000ns,CH3,1000000,100,0,2.36512e+09,96,0,40440.4,1845,142973,24165.6,834944,46203.4,84223.9,1800.83
2000ns,CH1,2000000,100,0,1.39735e+09,96,0,64383.1,565.02,401183,100995,3.83831e+06,293281,119725,4.62274
2000ns,CH2,2000000,100,0,6.88981e+08,96,0,44413.2,398.146,381663,104409,3.89936e+06,312448,126715,4.94994
2000ns,CH3,2000000,100,0,1.42099e+09,96,0,62816,552.895,423479,111478,3.94958e+06,320067,146798,4.50305
4000ns,CH1,4000000,100,0,699012,96,0,1280.66,182.321,-6e+06,57468.4,5.05906e+06,1.13665e+06,326624,276.501
4000ns,CH2,4000000,100,4,586459,96,0,2319,435.069,-1.8814e+06,486034,6.75383e+06,1.01935e+06,311981,428.031
4000ns,CH3,4000000,100,0,871705,96,0,2128.18,853.409,-1.14358e+06,94983.5,2.81103e+06,788834,375028,861.277
500ns,CH1,500000,100,0,5.63045e+08,96,0,34383.8,760.87,162661,9186.67,373095,9084.61,38257.1,328.522
500ns,CH2,500000,100,0,3.10774e+08,96,0,22091,569.869,185985,10470.9,362558,9959.16,37847.2,239.676
500ns,CH3,500000,100,0,6.4946e+08,96,0,35293.5,819.777,156111,9560.98,369140,9336.56,44559.7,350.58
8000ns,CH1,8000000,100,0,1.07857e+06,96,0,1445.39,513.158,-1.05353e+06,110106,2.49495e+06,656990,594407,520.298
8000ns,CH2,8000000,100,0,932411,96,0,908.699,72.9705,-2.12941e+06,259485,1.37083e+06,185166,580539,29.8429
8000ns,CH3,8000000,100,0,1.0989e+06,96,0,617.647,27.6543,-1.39306e+06,53702.1,747706,56899,686891,17.3299
